date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-11-15,0.5682052066901196,0.053920195935113525,0.07996809545926391,0.05423073427140365,0.08227280604574695,0.07859535563065582,0.08280760596769653
2011-11-16,0.5651647309073251,0.05352017731886215,0.08163007134509247,0.05471040696998686,0.08396398362864256,0.07889168233311515,0.08211894749697568
2011-11-17,0.5758897311729759,0.051722059040638285,0.08047846574748284,0.05317221645229497,0.08031461857044715,0.07649454457693249,0.08192836443922831
2011-11-18,0.5759519760519786,0.051695593394588686,0.08012940674962907,0.05337311164843682,0.08047081248118469,0.07665579124114537,0.08172330843303688
2011-11-21,0.5761599195413669,0.05119668194116927,0.0808300961827371,0.05321595455746587,0.08076363893387434,0.07613134552820623,0.08170236331518024
2011-11-22,0.5728540850605581,0.05147751865209817,0.08074499254623925,0.05430414144048991,0.08195370299684336,0.07715841123407548,0.08150714806969532
2011-11-23,0.5761850496097725,0.05058859238310161,0.08258482294819056,0.053308654830323585,0.08031026509875126,0.0757138748986242,0.0813087402312363
2011-11-25,0.5756438301687716,0.05094164547426781,0.08261833395081862,0.053257328484656696,0.08026126381083495,0.07582193207556794,0.0814556660350823
2011-11-28,0.5832728548467864,0.04941551362549971,0.0813834762606066,0.05191863477297018,0.07755488239186792,0.0742402928529289,0.08221434524934017
2011-11-29,0.5817375197633493,0.04885660465468061,0.08256013920380773,0.0519833791429827,0.07743180968188637,0.0742974233736507,0.08313312417964257
2011-11-30,0.588575860537194,0.04734631442256963,0.08232436492008237,0.050479611057419355,0.07551838431952296,0.07223372523604886,0.08352173950716288
2011-12-01,0.5864060626655245,0.0472093276828104,0.08388516351052717,0.050623206920798934,0.07572502868820359,0.07265337305874842,0.08349783747338688
2011-12-02,0.5823064297142156,0.04761113420184995,0.08638922297177708,0.051031945434949946,0.07602308505983406,0.0731389680612316,0.08349921455614166
2011-12-05,0.580871130724873,0.047904725984067226,0.0856044458117678,0.051321069590676546,0.0767086684349909,0.07415093467519104,0.08343902477843351
2011-12-06,0.5814421604504507,0.0476024601698191,0.08652011703015652,0.051130864923779225,0.07663375507714146,0.07387976484893594,0.08279087749971716
2011-12-07,0.5794485929307414,0.047667871539880696,0.08685134822470397,0.051331051443636116,0.07707824730077072,0.07409539057766047,0.08352749798260663
2011-12-08,0.5810676006863343,0.04720588663347185,0.08618867790365103,0.05105289827012263,0.07713657354658313,0.07368385330182126,0.08366450965801588
2011-12-09,0.5847632937823213,0.04674441987958828,0.08618085495174249,0.050239543449917365,0.07646320886625077,0.07313584763351356,0.08247283143666635
2011-12-12,0.5873065295541436,0.04614299988863861,0.08466030543921872,0.05016601116604835,0.07645687372536934,0.07285008745925739,0.08241719276732401
2011-12-13,0.5875166788687831,0.04647350380486615,0.08395189278033545,0.050053999670151464,0.07613737058645195,0.07281510943272035,0.08305144485669147
2011-12-14,0.5890074140641707,0.04667320143451007,0.08209720174318261,0.05040009175573332,0.07611559145038205,0.0730145974989149,0.08269190205310638
2011-12-15,0.5839780693323542,0.04710152871199597,0.08197933864471255,0.05103011437024759,0.07636434816013873,0.07438071832343812,0.08516588245711276
2011-12-16,0.5756246241383536,0.04936814266354702,0.08164782330556279,0.05109378199004495,0.0779660765633702,0.07597905469983478,0.08832049663928662
2011-12-19,0.5814521306858659,0.04760837972411714,0.08753869241058189,0.049125656986268536,0.07525307849865596,0.07308177304788945,0.08594028864662119
