date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-05-17,0.38817433685589636,0.08421238506521239,0.10528934918866853,0.08907323798768926,0.09981482297889413,0.11220367370548663,0.12123219421815266
2011-05-18,0.38561592727944705,0.08524307148677049,0.10380555574694872,0.08934048813391843,0.10310052610844588,0.11382433261470196,0.11907009862976743
2011-05-19,0.38386475411630167,0.08501359111267424,0.10413389681021956,0.09037933565808287,0.1034704414030326,0.11413304716145245,0.11900493373823644
2011-05-20,0.3843997541411196,0.08491104062158618,0.10387727107085748,0.09037358087550482,0.10331954597491605,0.11355691805082596,0.1195618892651899
2011-05-23,0.3870126095280623,0.08379538698327771,0.10367566357451695,0.09076116419233068,0.10277014922594645,0.11278233836935787,0.11920268812650803
2011-05-24,0.388309807803389,0.08351649751764353,0.10339704069997957,0.0905405478053421,0.10239285577745436,0.11296614053133835,0.11887710986485323
2011-05-25,0.38544443236430115,0.08325807097844051,0.10447792798322066,0.09086713833576407,0.10328132252139748,0.11505154882111564,0.11761955899576049
2011-05-26,0.3851357252911956,0.08311501930041919,0.10413372405264994,0.09008332152023919,0.10293218733816185,0.1145546912635561,0.12004533123377822
2011-05-27,0.3887752016210651,0.0820739738438573,0.10258837160587998,0.08984798768501918,0.10313236116187591,0.11493431937749084,0.11864778470481174
2011-05-31,0.39265348658240307,0.08129185650208184,0.1027727476548917,0.08899273238832237,0.10114673565837944,0.11410639052479309,0.1190360506891285
2011-06-01,0.3897843217625007,0.08265245202046367,0.10525980739946554,0.08811352400480792,0.10150018542690653,0.11186374170510716,0.12082596768074835
2011-06-02,0.38139311331735637,0.08421036097511264,0.10723857427089079,0.09053156487121586,0.10346099837409864,0.11483804060913393,0.1183273475821917
2011-06-03,0.38397592429255134,0.08412476751502032,0.1071180822892897,0.08981164956172046,0.10224255353863265,0.11378594403180897,0.11894107877097658
2011-06-06,0.383930441820406,0.08451511144818476,0.10669560957821154,0.08981223950553355,0.10169084616132959,0.1142776815444142,0.11907806994192036
2011-06-07,0.3819790541339002,0.0847026418311763,0.10680065377673492,0.08989869699341094,0.10203955263453043,0.1149568878712585,0.11962251275898855
2011-06-08,0.3824668973441861,0.0847097483547484,0.10677015994343877,0.089646003205353,0.10190393402802524,0.11531264013110812,0.11919061699314042
